AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
LNL	Kings Land O' Lakes Airport	Land O' Lakes, Wisconsin, United States
LNN	Willoughby Lost Nation Municipal Airport	Willoughby, Ohio, United States
LNP	Lonesome Pine Airport	Wise, Virginia, United States
LNR	Tri-County Regional Airport	Lone Rock, Wisconsin, United States
LNS	Lancaster Airport	Lancaster, Pennsylvania, United States
LNV	Lihir Island Airport	Londolovit, Lihir Island, Papua New Guinea
LNY	Lanai Airport	Lanai City, Hawaii, United States
LNZ	Linz Airport	Linz, Austria
LOH	Camilo Ponce Enriquez Airport	Loja, Ecuador
LOL	Derby Field	Lovelock, Nevada, United States
LOM	Wings Field	Philadelphia, Pennsylvania, United States
LON	All Airports	London, United Kingdom
LOS	Murtala Mohammed International Airport	Lagos, Nigeria
LOT	Lewis University Airport	Chicago/Romeoville, Illinois, United States
LOU	Bowman Field	Louisville, Kentucky, United States
LOV	Venustiano Carranza International Airport	Monclova, Mexico
LOZ	London-Corbin Airport (Magee Field)	London, Kentucky, United States
LPA	Gran Canaria International Airport	Canary Islands, Spain
LPB	El Alto International Airport	La Paz, Bolivia
LPC	Lompoc Airport	Lompoc, California, United States
LPD	La Pedrera Airport	La Pedrera, Colombia
LPG	La Plata City International Airport	La Plata, Argentina
LPI	SAAB Airport	Linköping, Sweden
LPL	Liverpool John Lennon Airport	Liverpool, United Kingdom
LPM	Malekoula Island Airport	Lamap, Vanuatu
LPP	Lappeenranta Airport	Lappeenranta, Finland
LPQ	Luang Prabang International Airport	Luang Prabang, Laos
LPR	Lorain County Regional Airport	Lorain/Elyria, Ohio, United States
LQK	Pickens County Airport	Pickens, South Carolina, United States
LQM	Caucaya Airport	Puerto Leguízamo, Colombia
LQN	Qala i Naw Airport	Qala i Naw, Afghanistan
LQR	Larned-Pawnee County Airport	Larned, Kansas, United States
LRD	Laredo International Airport	Laredo, Texas, United States
LRE	Longreach Airport	Longreach, Queensland, Australia
LRF	Little Rock Air Force Base	Jacksonville, Arkansas, United States
LRG	Lincoln Regional Airport	Lincoln, Maine, United States
LRH	La Rochelle - Île de Ré Airport	La Rochelle, France
LRJ	Le Mars Municipal Airport	Le Mars, Iowa, United States
LRL	Niamtougou International Airport	Niamtougou, Togo
LRM	La Romana International Airport	La Romana, Dominican Republic
LRO	Mount Pleasant Regional Airport (South Carolina)	Mount Pleasant, South Carolina, United States
LRS	Leros Island National Airport	Leros, Greece
LRT	Lorient South Brittany Airport	Lorient, France
LRU	Las Cruces International Airport	Las Cruces, New Mexico, United States
LRV	Los Roques Airport	Los Roques, Venezuela
LRY	Lawrence Smith Memorial Airport	Harrisonville, Missouri, United States
LSB	Lordsburg Municipal Airport	Lordsburg, New Mexico, United States
LSC	La Florida Airport	La Serena, Chile
LSE	La Crosse Municipal Airport	La Crosse, Wisconsin, United States
LSF	Lawson Army Airfield	Fort Benning, Columbus, Georgia, United States
LSI	Sumburgh Airport	Shetland, United Kingdom
LSK	Lusk Municipal Airport	Lusk, Wyoming, United States
LSL	Los Chiles Airport	Los Chiles, Costa Rica
LSN	Los Banos Municipal Airport	Los Banos, California, United States
LSP	Josefa Camejo International Airport	Las Piedras, Venezuela
LSR	Lost River 1 Airport	Lost River, Alaska, United States
LST	Launceston Airport	Launceston, Tasmania, Australia
LSV	Nellis Air Force Base	Las Vegas, Nevada, United States
LSY	Lismore Airport	Lismore, New South Wales, Australia
LTC	Laï Airport	Laï, Chad
LTI	Altai Airport	Altai, Govi-Altai, Mongolia
LTK	Bassel Al-Assad International Airport	Latakia, Syria
LTM	Lethem Airport	Lethem, Guyana
LTN	London Luton Airport	Luton (near London), United Kingdom
LTO	Loreto International Airport	Loreto, Baja California Sur, Mexico
LTS	Altus Air Force Base	Altus, Oklahoma, United States
LTT	La Mole Airport	La Mole, France
LTX	Cotapaxi International Airport	Latacunga, Ecuador
LUA	Lukla Airport	Lukla, Nepal
LUB	Lumid Pau Airport	Lumid Pau, Guyana
LUC	Laucala Island Airport	Laucala Island, Fiji
LUD	Luderitz Airport	Luderitz, Namibia
LUE	Lučenec Airport	Lučenec, Slovakia
LUF	Luke Air Force Base	Glendale, Arizona, United States
LUG	Lugano Airport	Lugano, Agno, Switzerland
LUH	Ludhiana Airport	Ludhiana, India
LUJ	Lusikisiki Airport	Lusikisiki, South Africa
LUK	Cincinnati Municipal Airport (Lunken Field)	Cincinnati, Ohio, United States
LUL	Hesler-Noble Field	Laurel, Mississippi, United States
LUM	Mangshi Airport	Luxi City, Yunnan, People's Republic of China
LUN	Lusaka International Airport	Lusaka, Zambia
LUO	Luena Airport	Luena, Moxico Province, Angola
LUP	Kalaupapa Airport	Kalaupapa, Hawaii, United States
LUQ	San Luis Airport	San Luis, Argentina
LUR	Cape Lisburne LRRS Airport	Cape Lisburne, Alaska, United States
LUS	Lusanga Airport	Lusanga, Democratic Republic of the Congo
LUT	Laura Station Airport	Laura Station, Queensland, Australia
LUU	Laura Airport	Laura, Queensland, Australia
LUV	Dumatubin Airport	Langgur, Kai Islands, Indonesia
LUW	Bubung Airport	Luwuk, Central Sulawesi, Indonesia
LUX	Luxembourg-Findel International Airport	Luxembourg-Findel, Luxembourg
LUZ	Lushan Airport	Lushan District, Jiangxi, People's Republic of China
LVA	Laval Entrammes Airport	Laval, France]
LVI	Livingstone Airport	Livingstone, Zambia
LVJ	Pearland Regional Airport	Houston, Texas, United States
LVK	Livermore Municipal Airport	Livermore, California, United States
LVL	Lawrenceville/Brunswick Municipal Airport	Lawrenceville, Virginia, United States
LVM	Mission Field	Livingston, Montana, United States
LVN	Airlake Airport	Minneapolis, Minnesota, United States
LVP	Lavan Airport	Lavan Island, Iran
LVS	Las Vegas Municipal Airport	Las Vegas, New Mexico, United States
LWA	South Haven Area Regional Airport	South Haven, Michigan, United States
LWB	Greenbrier Valley Airport	Lewisburg, West Virginia, United States
LWC	Lawrence Municipal Airport	Lawrence, Kansas, United States
LWD	Lamoni Municipal Airport	Lamoni, Iowa, United States
LWL	Wells Municipal Airport (Harriet Field)	Wells, Nevada, United States
LWM	Lawrence Municipal Airport	Lawrence, Massachusetts, United States
LWN	Shirak Airport	Gyumri, Armenia
LWO	Lviv International Airport	Lviv, Ukraine
LWS	Lewiston-Nez Perce County Airport	Lewiston, Idaho, United States
LWT	Lewistown Municipal Airport	Lewistown, Montana, United States
LWV	Lawrenceville-Vincennes International Airport	Lawrenceville, Illinois, United States
LXA	Lhasa Gonggar Airport	Lhasa, Tibet, People's Republic of China
LXN	Jim Kelly Field	Lexington, Nebraska, United States
LXR	Luxor International Airport	Luxor, Egypt
LXV	Lake County Airport	Leadville, Colorado, United States
LXY	Mexia-Limestone County Airport	Mexia, Texas, United States
LYE	RAF Lyneham	Wiltshire, England
LYH	Lynchburg Regional Airport (Preston Glenn Field)	Lynchburg, Virginia, United States
LYM	Lympne Airport	Lympne, Kent, England.
LYN	Lyon Bron Airport	Lyon, France
LYO	Lyons-Rice County Municipal Airport	Lyons, Kansas, United States
LYP	Faisalabad International Airport	Faisalabad, Pakistan
LYR	Svalbard Airport, Longyear	Longyearbyen, Svalbard, Norway
LYS	Lyon-Saint Exupéry Airport (formerly Satolas Airport)	Lyon, France
LYV	Quentin Aanenson Field	Luverne, Minnesota, United States
LZI	Lizard Island Airport	Lizard Island National Park, Australia
LZC	Lázaro Cárdenas Airport	Lázaro Cárdenas, Michoacán, Mexico
LZU	Gwinnett County Airport (Briscoe Field)	Lawrenceville, Georgia, United States
LZY	Nyingchi Airport	Nyingchi, Tibet, China
LZZ	Lampasas Airport	Lampasas, Texas, United States
MAA	Chennai International Airport	Tirusulam  near Chennai  (formerly Madras), India
MAC	Macon Downtown Airport	Macon, Georgia, United States
MAD	Barajas International Airport	Madrid, Spain
MAE	Madera Municipal Airport	Madera, California, United States
MAF	Midland International Airport	Midland (near Odessa), Texas, United States
MAH	Mahon Airport	Menorca, Spain
MAI	Mangochi Airport	Mangochi, Malawi
MAJ	Marshall Islands International Airport (Amata Kabua Int'l)	Majuro, Marshall Islands
MAL	Malone-Dufort Airport	Malone, New York, United States
MAM	General Servando Canales International Airport	Matamoros, Tamaulipas, Mexico
MAN	Manchester Airport	Manchester, United Kingdom
MAO	Eduardo Gomes International Airport	Manaus, Brazil
MAR	La Chinita International Airport	Maracaibo, Venezuela
MAV	Maloelap Airport	Maloelap, Marshall Islands
MAW	Malden Municipal Airport	Malden, Missouri, United States
MAX	Ouro Sogui Airport	Matam, Senegal
MAY	Clarence A. Bain Airport	Andros, Bahamas
MAZ	Eugenio Maria de Hostos Airport	Mayagüez, Puerto Rico
MBA	Moi International Airport	Mombasa, Kenya
MBG	Mobridge Municipal Airport	Mobridge, South Dakota, United States
MBJ	Sangster International Airport	Montego Bay, Jamaica
MBL	Manistee County-Blacker Airport	Manistee, Michigan, United States
MBO	Mamburao Airport	Mamburao, Occidental Mindoro, Philippines
MBS	MBS International Airport	Freeland, Michigan, United States, near Saginaw
MBT	Masbate Airport	Masbate City, Masbate, Philippines
MBX	Maribor Airport	Maribor, Slovenia
MBY	Omar N. Bradley Airport	Moberly, Missouri, United States
MCA	Macenta Airport	Macenta, Guinea
MCB	McComb-Pike County Airport (John E. Lewis Field)	McComb, Mississippi, United States
MCC	McClellan Airfield	Sacramento, California, United States
MCD	Mackinac Island Airport	Mackinac Island, Michigan, United States
MCE	Merced Municipal Airport (Macready Field)	Merced, California, United States
MCF	MacDill Air Force Base	Tampa, Florida, United States
MCG	McGrath Airport	McGrath, Alaska, United States
MCI	Kansas City International Airport	Kansas City, Missouri, United States (stands for Mid Continental Interchange)
MCK	McCook Regional Airport	McCook, Nebraska, United States
MCM	Monaco Heliport	Fontvieille, Monaco
MCN	Middle Georgia Regional Airport	Macon, Georgia, United States
MCO	Orlando International Airport	Orlando, Florida, United States
MCP	Macapá International Airport	Macapá, Brazil
MCT	Seeb International Airport	Muscat, Oman
MCW	Mason City Municipal Airport	Mason City, Iowa, United States
MCX	Uytash airport	Makhachkala, Dagestan, Russia
MCY	Sunshine Coast Airport	Queensland, Australia
MCZ	Zumbi dos Palmares Airport	Maceió, Brazil
MDD	Midland Airpark	Midland, Texas, United States
MDC	Sam Ratulangi International Airport	Manado, Indonesia
MDE	José María Córdova International Airport	Medellín, Colombia
MDF	Taylor County Airport	Medford, Wisconsin, United States
MDG	Mudanjiang Airport	Mudanjiang, Heilongjiang, People’s Republic of China
MDH	Southern Illinois Airport	Carbondale/Murphysboro, Illinois, United States
MDJ	Madras City-County Airport	Madras, Oregon, United States
MDL	Mandalay International Airport	Mandalay, Myanmar,[1],[2]
MDM	Marshall Don Hunter Sr Airport	Marshall, Alaska, United States[citation needed]
MDN	Madison Municipal Airport	Madison, Indiana, United States
MDO	Middleton Island Airport	Middleton Island, Alaska, United States
MDQ	Ástor Piazzola International Airport	Mar del Plata, Argentina
MDT	Harrisburg International Airport	Harrisburg, Pennsylvania, United States
MDW	Midway International Airport	Chicago, Illinois, United States
MDY	Henderson Field	Sand Island, Midway Atoll, United States
MDZ	Mendoza International Airport (El plumerillo)	Mendoza, Argentina
MEA	Macaé Airport	Macaé, Rio de Janeiro, Brazil
MEB	Laurinburg-Maxton Airport	Maxton, North Carolina, United States
MED	Prince Mohammad Bin Abdulaziz Airport	Medina, Saudi Arabia
MEF	Melfi Airport	Melfi, Chad
MEH	Mehamn Airport	Mehamn, Norway
MEI	Key Field	Meridian, Mississippi, United States
MEJ	Meade Municipal Airport	Meade, Kansas, United States
MEL	Melbourne Airport	Melbourne, Victoria, Australia
MEM	Memphis International Airport	Memphis, Tennessee, United States
MEP	Mersing Airport	Johor, Malaysia
MER	Castle Airport	Atwater, California, United States
MES	Polonia International Airport	Medan, Indonesia
MEV	Minden-Tahoe Airport	Minden, Nevada, United States
MEX	Mexico City International Airport	Mexico City, Mexico
MEY	Meghauli Airport	Meghauli, Nepal
MEZ	Mena Intermountain Municipal Airport	Mena, Arkansas, United States
MFD	Mansfield Lahm Regional Airport	Mansfield, Ohio, United States
MFE	McAllen-Miller International Airport	McAllen, Texas, United States
MFI	Marshfield Municipal Airport	Marshfield, Wisconsin, United States
MFM	Macau International Airport	Macau Special administrative region|SAR
MFN	Milford Sound Airport	Milford Sound, New Zealand
MFQ	Maradi Airport	Maradi, Niger
MFR	Rogue Valley International-Medford Airport	Medford, Oregon, United States
MFV	Accomack County Airport	Melfa, Virginia, United States
MFW	Magaruque Airport	Magaruque Island, Mozambique
MGA	Augusto C. Sandino International Airport	Managua, Nicaragua
MGB	Mount Gambier Airport	Mount Gambier, Australia
MGC	Michigan City Municipal Airport	Michigan City, Indiana, United States
MGE	Dobbins Air Reserve Base (Atlanta NAS)	Marietta, Georgia, United States
MGF	Maringá - Sílvio Name Júnior Regional Airport	Maringá, Paraná, Brazil
MGI	Martín García Island Airport	Buenos Aires Province, Argentina
MGJ	Orange County Airport	Montgomery, New York, United States
MGL	Düsseldorf-Mönchengladbach Airport	Mönchengladbach, Germany
MGM	Montgomery Regional Airport (Dannelly Field)	Montgomery, Alabama, United States
MGN	Harbor Springs Airport	Harbor Springs, Michigan, United States
MGR	Moultrie Municipal Airport	Moultrie, Georgia, United States
MGQ	Mogadishu International Airport	Mogadishu, Somalia
MGW	Morgantown Municipal Airport (Walter L. Bill Hart Field)	Morgantown, West Virginia, United States
MGY	Dayton-Wright Brothers Airport	Dayton, Ohio, United States
MHA	Mahdia Airport	Mahdia, Guyana
MHE	Mitchell Municipal Airport	Mitchell, South Dakota, United States
MHG	Mannheim City Airport	Mannheim, Germany
MHH	Marsh Harbour Airport	Marsh Harbour, Bahamas
MHI	Moucha Airport	Moucha Island, Djibouti
MHK	Manhattan Regional Airport	Manhattan, Kansas, United States
MHL	Marshall Memorial Municipal Airport	Marshall, Missouri, United States
MHM	Minchumina Airport	Minchumina, Alaska, United States
MHN	Hooker County Airport	Mullen, Nebraska, United States
MHP	Minsk-1 Airport	Minsk, Belarus
MHQ	Mariehamn Airport	Mariehamn, Åland Islands, Finland
MHR	Sacramento Mather Airport	Sacramento, California, United States
MHT	Manchester-Boston Regional Airport	Manchester, New Hampshire, United States
MHV	Mojave Airport	Mojave, California, United States
MHZ	RAF Mildenhall	RAF Mildenhall, United Kingdom
MIA	Miami International Airport	Miami, Florida, United States
MIB	Minot Air Force Base	Minot, North Dakota, United States
MIC	Crystal Airport	Minneapolis, Minnesota, United States
MID	Manuel Crescencio Rejón International Airport	Mérida, Yucatán, Mexico
MIE	Delaware County Airport (Johnson Field)	Muncie, Indiana, United States
MIG	Mian Yang Airport	Mian Yang, China
MIJ	Mili Airport	Mili, Marshall Islands
MIK	Mikkeli Airport	Mikkeli, Finland
MIL	All Airports	Milan, Italy
MIO	Miami Municipal Airport	Miami, Oklahoma, United States
MIP	Mitzpe Ramon Airfield	Mitzpe Ramon, Israel
MIQ	Millard Airport (FAA: MLE)	Omaha, Nebraska, United States
MIR	Monastir Habib Bourguiba International Airport	Monastir, Tunisia
MIT	Shafter Airport	Shafter, California, United States
MIV	Millville Municipal Airport	Millville, New Jersey, United States
MIW	Marshalltown Municipal Airport	Marshalltown, Iowa, United States
MJB	Mejit Airport	Mejit, Marshall Islands
MJD	Picayune Municipal Airport	Picayune, Mississippi, United States
MJE	Majkin Airport	Majkin, Marshall Islands
MJF	Mosjøen Airport, Kjærstad	Mosjøen, Norway
MJI	Mitiga International Airport	Tripoli, Libya
MJQ	Jackson Municipal Airport	Jackson, Minnesota, United States
MJR	Miramar Airport	Miramar, Buenos Aires, Argentina
MJV	Murcia-San Javier Airport	Murcia, Spain
MJX	Robert J. Miller Air Park	Toms River, New Jersey, United States
MKA	Miller Municipal Airport	Miller, South Dakota, United States
MKC	Kansas City Downtown Airport (Charles B. Wheeler Downtown Airport)	Kansas City, Missouri, United States
MKE	General Mitchell International Airport	Milwaukee, Wisconsin, United States
MKG	Muskegon County Airport	Muskegon, Michigan, United States
MKJ	Mountain Empire Airport	Marion/Wytheville, Virginia, United States
MKK	Molokai Airport	Kaunakakai, Hawaii, United States
MKL	McKellar-Sipes Regional Airport	Jackson, Tennessee, United States
MKN	Comanche County-City Airport	Comanche, Texas, United States
MKO	Davis Field	Muskogee, Oklahoma, United States
MKT	Mankato Regional Airport	Mankato, Minnesota, United States
MKS	Mekane Selam Airport	Mekane Selam, Ethiopia
MKV	Marksville Municipal Airport	Marksville, Louisiana, United States
MKY	Mackay Airport	Mackay, Queensland, Australia
MLA	Malta International Airport (Luqa Airport)	Luqa, Malta
MLB	Melbourne International Airport	Melbourne, Florida, United States
MLC	McAlester Regional Airport	McAlester, Oklahoma, United States
MLD	Malad City Airport	Malad City, Idaho, United States
MLE	Malé International Airport	Hulhulé Island, Maldives
MLF	Milford Municipal Airport (Ben and Judy Briscoe Field)	Milford, Utah, United States
MLG	Abdul Rachman Saleh Airport	Malang, East Java, Indonesia
MLH	EuroAirport Basel-Mulhouse-Freiburg	Mulhouse, France
MLI	Quad City International Airport	Moline, Illinois, United States
MLJ	Baldwin County Airport	Milledgeville, Georgia, United States
MLM	General Francisco J. Mujica International Airport	Morelia, Michoacán, Mexico
MLN	Melilla Airport	Melilla, Spanishexclave in Morocco
MLO	Milos Island National Airport	Milos, Greece
MLP	Malabang Airport	Malabang, Lanao del Sur, Philippines
MLS	Miles City Municipal Airport (Frank Wiley Field)	Miles City, Montana, United States
MLT	Millinocket Municipal Airport	Millinocket, Maine, United States
MLU	Monroe Regional Airport	Monroe, Louisiana, United States
MLW	Spriggs Payne Airport	Monrovia, Liberia
MLX	Erhac Airport	Malatya, Turkey
MLY	Manley Hot Springs Airport	Manley Hot Springs, Alaska, United States
MME	Durham Tees Valley Airport	Teesside, United Kingdom
MMH	Mammoth Yosemite Airport	Mammoth Lakes, California, United States
MMI	McMinn County Airport	Athens, Tennessee, United States
MMK	Murmansk Airport	Murmansk, Russia
MML	Southwest Minnesota Regional Airport (Marshall/Ryan Field)	Marshall, Minnesota,
MMO	Maio Airport	Maio, Cape Verde
MMQ	Mbala Airport	Mbala, Zambia
MMS	Selfs Airport	Marks, Mississippi, United States
MMT	McEntire Air National Guard Station	Eastover, South Carolina, United States
MMU	Morristown Municipal Airport	Morristown, New Jersey, United States
MMV	McMinnville Municipal Airport	McMinnville, Oregon, United States
MMX	Malmö-Sturup Airport	Malmö, Sweden
MMZ	Maymana Airport	Maymana, Afghanistan
MNC	Nacala Airport	Nacala, Mozambique
MNF	Mountain View Airport	Mountain View, Missouri, United States
MNI	Gerald's Airport	Montserrat, British West Indies. Code formerly used for the destroyed W.H. Bramble (Blackburne) Airport.
MNL	Ninoy Aquino International Airport/Villamor Airbase	Metro Manila, Philippines
MNM	Menominee-Marinette Twin County Airport	Menominee, Michigan, United States
MNN	Marion Municipal Airport	Marion, Ohio, United States
MNS	Minhas, Kamra Airport	Kamra, Pakistan
MNU	Mawlamyaing Airport	Mawlamyaing, Burma
